"code_title","eng_text","kor_text"
"A16.3","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵"
"A16.30","Tuberculosis of intrathoracic lymph nodes with cavitation, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 흉곽내림프절의 결핵"
"A16.31","Tuberculosis of intrathoracic lymph nodes without cavitation or unspecified, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 흉곽내림프절의 결핵"
"A16.4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵"
"A16.40","Tuberculosis of larynx with cavitation, trachea and bronchus, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 후두, 기관 및 기관지 결핵"
"A16.41","Tuberculosis of larynx without cavitation or unspecified, trachea and bronchus, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 후두, 기관 및 기관지 결핵"
"A16.5","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염"
"A16.50","Tuberculous pleurisy with cavitation, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 흉막염"
"A16.51","Tuberculous pleurisy without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염"
"A16.7","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵"
"A16.70","Primary respiratory tuberculosis with cavitation, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 일차호흡기결핵"
"A16.71","Primary respiratory tuberculosis without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵"
"A16.8","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵"
"A16.80","Other respiratory tuberculosis with cavitation, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵"
"A16.81","Other respiratory tuberculosis without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵"
"A16.9","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵"
"A16.90","Respiratory tuberculosis unspecified with cavitation, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵"
"A16.91","Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵"
"A31","Infection due to other mycobacteria","기타 형태의 마이코박테리아에 의한 감염"
"A31.0","Pulmonary mycobacterial infection","폐마이코박테리아감염"
"A31.1","Cutaneous mycobacterial infection","피부마이코박테리아감염"
"A31.8","Other mycobacterial infections","기타 마이코박테리아감염"
"A31.9","Mycobacterial infection, unspecified","상세불명의 마이코박테리아감염"
"A37","Whooping cough","백일해"
"A37.0","Whooping cough due to Bordetella pertussis","보르데텔라 페르투시스에 의한 백일해"
"A37.1","Whooping cough due to Bordetella para- pertussis","보르데텔라 파라페르투시스에 의한 백일해"
"A37.8","Whooping cough due to other Bordetella species","기타 보르데텔라균에 의한 백일해"
"A37.9","Whooping cough, unspecified","상세불명의 백일해"
"A40","Streptococcal sepsis","연쇄구균패혈증"
"A40.0","Sepsis due to streptococcus, group A","연쇄구균A군에 의한 패혈증"
"A40.1","Sepsis due to streptococcus, group B","연쇄구균B군에 의한 패혈증"
"A40.2","Sepsis due to streptococcus, group D","연쇄구균D군에 의한 패혈증"
"A40.3","Sepsis due to Streptococcus pneumoniae","폐렴연쇄구균에 의한 패혈증"
"A40.8","Other streptococcal sepsis","기타 연쇄구균패혈증"
"A40.9","Streptococcal sepsis, unspecified","상세불명의 연쇄구균패혈증"
"A41","Other sepsis","기타 패혈증"
"A41.0","Sepsis due to Staphylococcus aureus","황색포도구균에 의한 패혈증"
"A41.1","Sepsis due to other specified staphylococcus","기타 명시된 포도구균에 의한 패혈증"
"A41.2","Sepsis due to unspecified staphylococcus","상세불명의 포도구균에 의한 패혈증"
"A41.3","Sepsis due to Haemophilus influenzae","인플루엔자균에 의한 패혈증"
"A41.4","Sepsis due to anaerobes","무산소균에 의한 패혈증"
"A41.5","Sepsis due to other Gram-negative organisms","기타 그람음성균에 의한 패혈증"
"A41.50","Sepsis due to Escherichia coli[E. coli]","대장균에 의한 패혈증"
"A41.51","Sepsis due to Pseudomonas","슈도모나스에 의한 패혈증"
"A41.52","Sepsis due to Vibrio","비브리오균에 의한 패혈증"
"A41.53","Sepsis due to acinetobacter baumannii","아시네토박터에 의한 패혈증"
"A41.58","Sepsis due to other Gram-negative  organisms","기타 명시된 그람음성균에 의한 패혈증"
"A41.59","Sepsis due to unspecified Gram-negative organisms","상세불명의 그람음성균에 의한 패혈증"
"A41.8","Other specified sepsis","기타 명시된 패혈증"
"A41.80","Sepsis due to Enterococcus","장구균에 의한 패혈증"
"A41.88","Other specified sepsis","기타 명시된 패혈증"
"A41.9","Sepsis, unspecified","상세불명의 패혈증"
"A46","Erysipelas","단독(丹毒)"
"A30-A49","Other bacterial diseases","기타 세균성 질환"
"A49","Bacterial infection of unspecified site","상세불명 부위의 세균감염"
"A49.0","Staphylococcal infection, unspecified site","상세불명 부위의 포도구균감염"
"A49.1","Streptococcal and enterococcal infection, unspecified site","상세불명 부위의 연쇄구균 및 장내구균 감염"
"A49.2","Haemophilus influenzae infection, unspecified site","상세불명 부위의 인플루엔자균감염"
"A49.3","Mycoplasma infection, unspecified site","상세불명 부위의 마이코플라스마감염"
"A49.8","Other bacterial infections of unspecified site","상세불명 부위의 기타 세균감염"
"A49.9","Bacterial infection, unspecified","상세불명의 세균감염"
"A50-A64","Infections with a predominantly sexual mode of transmission","주로 성행위로 전파되는 감염"
"A50","Congenital syphilis","선천매독"
"A50.0","Early congenital syphilis, symptomatic","증상성 조기선천매독"
"A50.1","Early congenital syphilis, latent","잠복성 조기선천매독"
"A50.2","Early congenital syphilis, unspecified","상세불명의 조기선천매독"
"A50.3","Late congenital syphilitic oculopathy","만기 선천매독성 눈병증"
"A50.4","Late congenital neurosyphilis [juvenile neurosy- philis]","만기 선천성 신경매독[연소성 신경매독]"
"A50.5","Other late congenital syphilis, symptomatic","기타 증상성 만기선천매독"
"A50.6","Late congenital syphilis, latent","잠복성 만기선천매독"
"A50.7","Late congenital syphilis, unspecified","상세불명의 만기선천매독"
"A50.9","Congenital syphilis, unspecified","상세불명의 선천매독"
"A63","Other predominantly sexually transmitted diseases, NEC","달리 분류되지 않은 기타 주로 성행위로 전파되는 질환"
"A63.0","Anogenital(venereal) warts","항문생식기의(성병성) 사마귀"
"A63.8","Other specified predominantly sexually transmitted diseases","기타 명시된 주로 성행위로 전파되는 질환"
"A66","Yaws","요스"
"A66.0","Initial lesions of yaws","요스의 초기병변"
"A66.1","Multiple papillomata and wet crab yaws","다발성 유두종 및 습성 요스"
"A66.2","Other early skin lesions of yaws","기타 요스의 조기피부병변"
"A66.3","Hyperkeratosis of yaws","요스의 과각화증"
"A66.4","Gummata and ulcers of yaws","요스의 고무종 및 궤양"
"A66.5","Gangosa","강고사"
"A66.6","Bone and joint lesions of yaws","요스의 골 및 관절 병변"
"A66.7","Other manifestations of yaws","기타 요스의 증상"
"A66.8","Latent yaws","잠복요스"
"A66.9","Yaws, unspecified","상세불명의 요스"
"A68","Relapsing fevers","재귀열"
"A68.0","Louse-borne relapsing fever","이매개 재귀열"
"A68.1","Tick-borne relapsing fever","진드기매개 재귀열"
"A68.9","Relapsing fever, unspecified","상세불명의 재귀열"
"A70-A74","Other diseases caused by chlamydiae","클라미디아에 의한 기타 질환"
"A74","Other diseases caused by chlamydiae","클라미디아에 의한 기타 질환"
"A74.0†","Chlamydial conjunctivitis","클라미디아결막염(H13.1*)"
"A74.8","Other chlamydial diseases","기타 클라미디아질환"
"A74.9","Chlamydial infection, unspecified","상세불명의 클라미디아감염"
"A87","Viral meningitis","바이러스수막염"
"A87.0†","Enteroviral meningitis","엔테로바이러스수막염(G02.0*)"
"A87.1†","Adenoviral meningitis","아데노바이러스수막염(G02.0*)"
"A87.2","Lymphocytic choriomeningitis","림프구성 맥락수막염"
"A87.8","Other viral meningitis","기타 바이러스수막염"
"A87.9","Viral meningitis, unspecified","상세불명의 바이러스수막염"
"A95","Yellow fever","황열"
"A95.0","Sylvatic yellow fever","삼림형황열"
"A95.1","Urban yellow fever","도시형황열"
"A95.9","Yellow fever, unspecified","상세불명의 황열"
"B00-B09","Viral infections characterized by skin and mucous membrane lesions","피부 및 점막병변이 특징인 바이러스감염"
"B00","Herpesviral [herpes simplex] infections","헤르페스바이러스[단순헤르페스] 감염"
"B00.0","Eczema herpeticum","헤르페스습진"
"B00.1","Herpesviral vesicular dermatitis","헤르페스바이러스 소수포피부염"
"B00.2","Herpesviral gingivostomatitis and pharyngotonsillitis","헤르페스바이러스 치은구내염 및 인두편도염"
"B00.3†","Herpesviral meningitis","헤르페스바이러스수막염(G02.0*)"
"B00.4†","Herpesviral encephalitis","헤르페스바이러스뇌염(G05.1*)"
"B00.5","Herpesviral ocular disease","헤르페스바이러스눈병"
"B00.50†","Iridocyclitis","홍채섬모체염(H22.0*)"
"B00.51†","Keratitis","각막염(H19.1*)"
"B00.52†","Conjunctivitis","결막염(H13.1*)"
"B00.58","Other herpesviral disease of eye","눈의 기타 헤르페스바이러스병"
"B00.59","Unspecified herpesviral disease of eye","눈의 상세불명의 헤르페스바이러스병"
"B00.7","Disseminated herpesviral disease","파종성 헤르페스바이러스병"
"B00.8","Other forms of herpesviral infection","기타 형태의 헤르페스바이러스감염"
"B00.80","Herpesviral hepatitis","헤르페스바이러스간염†(K77.0*)"
"B00.88","Other herpesviral infection","기타 헤르페스바이러스감염"
"B00.9","Herpesviral infection, unspecified","상세불명의 헤르페스바이러스감염"
"B02","Zoster [herpes zoster]","대상포진"
"B02.0†","Zoster encephalitis","대상포진뇌염(G05.1*)"
"B02.1†","Zoster meningitis","대상포진수막염(G02.0*)"
"B02.2†","Zoster with other nervous system involvement","기타 신경계통 침범을 동반한 대상포진"
"B02.3","Zoster ocular disease","대상포진눈병"
"B02.7","Disseminated zoster","파종성 대상포진"
"B02.8","Zoster with other complications","기타 합병증을 동반한 대상포진"
"B02.9","Zoster without complication","합병증이 없는 대상포진"
"B07","Viral warts","바이러스사마귀"
"B15-B19","Viral hepatitis","바이러스간염"
"B15","Acute hepatitis A","급성 A형간염"
"B15.0","Hepatitis A with hepatic coma","간성 혼수가 있는 A형간염"
"B15.9","Hepatitis A without hepatic coma","간성 혼수가 없는 A형간염"
"B16","Acute hepatitis B","급성 B형간염"
"B16.0","Acute hepatitis B with delta-agent(coinfection) with hepatic coma","간성 혼수가 있는 델타-병원체(동시감염)를 가진 급성 B형간염"
"B16.1","Acute hepatitis B with delta-agent(coinfection) without hepatic coma","간성 혼수가 없는 델타-병원체(동시감염)를 가진 급성 B형간염"
"B16.2","Acute hepatitis B without delta- agent with hepatic coma","간성 혼수가 있고 델타-병원체가 없는 급성 B형간염"
"B16.9","Acute hepatitis B without delta- agent and without hepatic coma","간성 혼수가 없고 델타-병원체도 없는 급성 B형간염"
"B17","Other acute viral hepatitis","기타 급성 바이러스간염"
"B17.0","Acute delta-(super)infection of hepatitis B carrier","B형간염보균자의 급성 델타(중복)감염"
"B17.1","Acute hepatitis C","급성 C형간염"
"B17.2","Acute hepatitis E","급성 E형간염"
"B17.8","Other specified acute viral hepatitis","기타 명시된 급성 바이러스간염"
"B17.9","Acute viral hepatitis, unspecified","상세불명의 급성 바이러스간염"
"B18","Chronic viral hepatitis","만성 바이러스간염"
"B18.0","Chronic viral hepatitis B with delta- agent","델타-병원체가 있는 만성 바이러스B형간염"
"B18.1","Chronic viral hepatitis B without delta- agent","델타-병원체가 없는 만성 바이러스B형간염"
"B18.10","Chronic viral hepatitis B without delta- agent","델타-병원체가 없는 만성 바이러스B형간염"
"B18.18","Immune tolerance of chronic viral hepatitis B","만성 바이러스B형간염 면역관용기"
"B18.2","Chronic viral hepatitis C","만성 바이러스C형간염"
"B18.8","Other chronic viral hepatitis","기타 만성 바이러스간염"
"B18.9","Chronic viral hepatitis, unspecified","상세불명의 만성 바이러스간염"
"B15-B19","Viral hepatitis","바이러스간염"
"B19","Unspecified viral hepatitis","상세불명의 바이러스간염"
"B19.0","Unspecified viral hepatitis with hepatic coma","간성 혼수가 있는 상세불명의 바이러스간염"
"B19.9","Unspecified viral hepatitis without hepatic coma","간성 혼수가 없는 상세불명의 바이러스간염"
"B20-B24","Human immunodeficiency virus[HIV] disease","인체면역결핍바이러스병"
"B20","Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases","감염성 및 기생충성 질환을 유발한 인체면역결핍바이러스병"
"B20.0","HIV disease resulting in mycobacterial infection","마이코박테리아감염을 유발한 인체면역결핍바이러스병"
"B20.1","HIV disease resulting in other bacterial infections","기타 세균감염을 유발한 인체면역결핍바이러스병"
"B20.2","HIV disease resulting in cytomegaloviral disease","거대세포바이러스병을 유발한 인체면역결핍바이러스병"
"B20.3","HIV disease resulting in other viral infections","기타 바이러스감염을 유발한 인체면역결핍바이러스병"
"B20.4","HIV disease resulting in candidiasis","칸디다증을 유발한 인체면역결핍바이러스병"
"B20.5","HIV disease resulting in other mycoses","기타 진균증을 유발한 인체면역결핍바이러스병"
"B20.6","HIV disease resulting in Pneumocystis jirovecii pneumonia","폐포자충폐렴을 유발한 인체면역결핍바이러스병"
"B20.7","HIV disease resulting in multiple infections","다발감염을 유발한 인체면역결핍바이러스병"
"B20.8","HIV disease resulting in other infectious and parasitic diseases","기타 감염성 및 기생충성 질환을 유발한 인체면역결핍바이러스병"
"B20.9","HIV disease resulting in unspecified infectious or parasitic disease","상세불명의 감염성 또는 기생충성 질환을 유발한 인체면역결핍바이러스병"
"B22","Human immunodeficiency virus [HIV] disease resulting in other specified diseases","기타 명시된 질환을 유발한 인체면역결핍바이러스병"
"B22.0","HIV disease resulting in encephalopathy","뇌병증을 유발한 인체면역결핍바이러스병"
"B22.1","HIV disease resulting in lymphoid interstitial pneumonitis","림프성 간질폐렴을 유발한 인체면역결핍바이러스병"
"B22.2","HIV disease resulting in wasting syndrome","소모증후군을 유발한 인체면역결핍바이러스병"
"B22.7","HIV disease resulting in multiple diseases classified elsewhere","달리 분류된 다발성 질환을 유발한 인체면역결핍바이러스병"
"B23","Human immunodeficiency virus [HIV] disease resulting in other conditions","기타병태를 유발한 인체면역결핍바이러스병"
"B23.0","Acute HIV infection syndrome","급성 인체면역결핍바이러스감염증후군"
"B23.1","HIV disease resulting in (persistent) generalized lymphadenopathy","(지속성) 전신림프선병증을 유발한 인체면역결핍바이러스병"
"B23.2","HIV disease resulting in haematological and immunological abnormalities, NEC","달리 분류되지 않은 혈액학적 및 면역학적 이상을 유발한 인체면역결핍바이러스병"
"B23.8","HIV disease resulting in other specified conditions","기타 명시된 병태를 유발한 인체면역결핍바이러스병"
"B20-B24","Human immunodeficiency virus[HIV] disease","인체면역결핍바이러스병"
"B24","Unspecified human immunodeficiency virus [HIV] disease","상세불명의 인체면역결핍바이러스병"
"B27","Infectious mononucleosis","감염성 단핵구증"
"B27.0","Gammaherpesviral mononucleosis","감마헤르페스바이러스단핵구증"
"B27.1","Cytomegaloviral mononucleosis","거대세포바이러스단핵구증"
"B27.8","Other infectious mononucleosis","기타 감염성 단핵구증"
"B27.9","Infectious mononucleosis, unspecified","상세불명의 감염성 단핵구증"
"B30","Viral conjunctivitis","바이러스결막염"
"B30.0†","Keratoconjunctivitis due to adenovirus","아데노바이러스에 의한 각막결막염(H19.2*)"
"B30.1†","Conjunctivitis due to adenovirus","아데노바이러스에 의한 결막염(H13.1*)"
"B30.2","Viral pharyngoconjunctivitis","바이러스인두결막염"
"B30.3†","Acute epidemic haemorrhagic conjunctivitis (enteroviral)","급성 유행성 출혈성 결막염(엔테로바이러스)(H13.1*)"
"B30.8†","Other viral conjunctivitis","기타 바이러스결막염(H13.1*)"
"B30.9","Viral conjunctivitis, unspecified","상세불명의 바이러스결막염"
"B33","Other viral diseases, NEC","달리 분류되지 않은 기타 바이러스질환"
"B33.0","Epidemic myalgia","유행성 근통"
"B33.1","Ross River disease","로스강병"
"B33.2","Viral carditis","바이러스심장염"
"B33.3","Retrovirus infections, NEC","달리 분류되지 않은 레트로바이러스감염"
"B33.4†","Hantavirus (cardio)-pulmonary syndrome     [HPS][HCPS]","한타바이러스(심)-폐증후군(J17.1*)"
"B33.8","Other specified viral diseases","기타 명시된 바이러스질환"
"B25-B34","Other viral diseases","기타 바이러스질환"
"B34","Viral infection of unspecified site","상세불명 부위의 바이러스감염"
"B34.0","Adenovirus infection, unspecified site","상세불명 부위의 아데노바이러스감염"
"B34.1","Enterovirus infection, unspecified site","상세불명 부위의 엔테로바이러스감염"
"B34.2","Coronavirus infection, unspecified site","상세불명 부위의 코로나바이러스감염"
"B34.3","Parvovirus infection, unspecified site","상세불명 부위의 파르보바이러스감염"
"B34.4","Papovavirus infection, unspecified site","상세불명 부위의 파포바바이러스감염"
"B34.8","Other viral infections of unspecified site","상세불명 부위의 기타 바이러스감염"
"B34.9","Viral infection, unspecified","상세불명의 바이러스감염"
"B35-B49","Mycoses","진균증"
"B35","Dermatophytosis","백선증"
"B35.0","Tinea barbae and tinea capitis","수염 및 두피 백선"
"B35.1","Tinea unguium","손발톱백선"
"B35.2","Tinea manuum","손백선"
"B35.3","Tinea pedis","발백선"
"B35.4","Tinea corporis","체부백선"
"B35.5","Tinea imbricata","와상백선"
"B35.6","Tinea inguinalis [Tinea cruris]","사타구니백선"
"B35.8","Other dermatophytoses","기타 피부백선증"
"B35.9","Dermatophytosis, unspecified","상세불명의 백선증"
"B36","Other superficial mycoses","기타 표재성 진균증"
"B36.0","Pityriasis versicolor","어루러기"
"B36.1","Tinea nigra","흑색 백선"
"B36.2","White piedra","백색털결절진균증"
"B36.3","Black piedra","흑색털결절진균증"
"B36.8","Other specified superficial mycoses","기타 명시된 표재성 진균증"
"B36.9","Superficial mycosis, unspecified","상세불명의 표재성 진균증"
"B37","Candidiasis","칸디다증"
"B37.0","Candidal stomatitis","칸디다구내염"
"B37.1","Pulmonary candidiasis","폐칸디다증"
"B37.2","Candidiasis of skin and nail","피부 및 손발톱 칸디다증"
"B37.3†","Candidiasis of vulva and vagina","외음 및 질의 칸디다증(N77.1*)"
"B37.4","Candidiasis of other urogenital sites","기타 비뇨생식기 부위의 칸디다증"
"B37.40†","Candidal cystitis and urethritis","칸디다 방광염 및 요도염(N37.0*)"
"B37.41†","Candidal balanitis","칸디다귀두염(N51.2*)"
"B37.48","Other urogenital candidiasis","기타 비뇨생식기 부위의 칸디다증"
"B37.5†","Candidal meningitis","칸디다수막염(G02.1*)"
"B37.6†","Candidal endocarditis","칸디다심내막염(I39.8*)"
"B37.7","Candidal sepsis","칸디다패혈증"
"B37.8","Candidiasis of other sites","기타 부위의 칸디다증"
"B37.80","Candidal esophagitis","칸디다식도염"
"B37.81","Candidal enteritis","칸디다장염"
"B37.82","Candidal cheilitis","칸디다구순염"
"B37.83†","Candidal otitis externa","칸디다외이도염(H62.2*)"
"B37.88","Other sites of candidiasis","기타 부위의 칸디다증"
"B37.9","Candidiasis, unspecified","상세불명의 칸디다증"
"B39","Histoplasmosis","히스토플라스마증"
"B39.0","Acute pulmonary histoplasmosis capsulati","급성 폐히스토플라스마증"
"B39.1","Chronic pulmonary histoplasmosis capsulati","만성 폐히스토플라스마증"
"B39.2","Pulmonary histoplasmosis capsulati, unspecified","상세불명의 폐히스토플라스마증"
"B39.3","Disseminated histoplasmosis capsulati","파종성 히스토플라스마증"
"B39.4","Histoplasmosis capsulati, unspecified","상세불명의 캡슐라툼 히스토플라스마증"
"B39.5","Histoplasmosis duboisii","두보이시 히스토플라스마증"
"B39.9","Histoplasmosis, unspecified","상세불명의 히스토플라스마증"
"B44","Aspergillosis","아스페르길루스증"
"B44.0","Invasive pulmonary aspergillosis","침습성 폐아스페르길루스증"
"B44.1","Other pulmonary aspergillosis","기타 폐아스페르길루스증"
"B44.2","Tonsillar aspergillosis","편도아스페르길루스증"
"B44.7","Disseminated aspergillosis","파종성 아스페르길루스증"
"B44.8","Other forms of aspergillosis","기타 형태의 아스페르길루스증"
"B44.9","Aspergillosis, unspecified","상세불명의 아스페르길루스증"
"B48","Other mycoses, NEC","달리 분류되지 않은 기타 진균증"
"B48.0","Lobomycosis","로보진균증"
"B48.1","Rhinosporidiosis","리노스포리듐증"
"B48.2","Allescheriasis","알레쉐리아증"
"B48.3","Geotrichosis","지오트리쿰증"
"B48.4","Penicillosis","페니실륨증"
"B48.7","Opportunistic mycoses","기회감염진균증"
"B48.8","Other specified mycoses","기타 명시된 진균증"
"B50-B64","Protozoal diseases","원충질환"
"B50","Plasmodium falciparum malaria","열대열원충말라리아"
"B50.0","Plasmodium falciparum malaria with cerebral complications","대뇌합병증을 동반한 열대열원충말라리아"
"B50.8","Other severe and complicated Plasmodium falciparum malaria","기타 중증 및 합병된 열대열원충말라리아"
"B50.9","Plasmodium falciparum malaria, unspecified","상세불명의 열대열원충말라리아"
"B54","Unspecified malaria","상세불명의 말라리아"
"B74","Filariasis","사상충증"
"B74.0","Filariasis due to Wuchereria bancrofti","반크로프트사상충에 의한 사상충증"
"B74.1","Filariasis due to Brugia malayi","브루기아 말레이에 의한 사상충증"
"B74.2","Filariasis due to Brugia timori","브루기아 티모리에 의한 사상충증"
"B74.3","Loiasis","로아사상충증"
"B74.4","Mansonelliasis","만소넬라증"
"B74.8","Other filariases","기타 사상충증"
"B74.9","Filariasis, unspecified","상세불명의 사상충증"
"B90-B94","Sequelae of infectious and parasitic diseases","감염성 및 기생충질환의 후유증"
"B90","Sequelae of tuberculosis","결핵의 후유증"
"B90.0","Sequelae of central nervous system tuberculosis","중추신경계통결핵의 후유증"
"B90.1","Sequelae of genitourinary tuberculosis","비뇨생식기결핵의 후유증"
"B90.2","Sequelae of tuberculosis of bones and joints","골 및 관절 결핵의 후유증"
"B90.8","Sequelae of tuberculosis of other organs","기타 기관의 결핵의 후유증"
"B90.9","Sequelae of respiratory and unspecified tuberculosis","호흡기 및 상세불명 결핵의 후유증"
"B91","Sequelae of poliomyelitis","회색질척수염의 후유증"
"B90-B94","Sequelae of infectious and parasitic diseases","감염성 및 기생충질환의 후유증"
"B94","Sequelae of other and unspecified infectious and parasitic diseases","기타 및 상세불명의 감염성 및 기생충성 질환의 후유증"
"B94.0","Sequelae of trachoma","트라코마의 후유증"
"B94.1","Sequelae of viral encephalitis","바이러스뇌염의 후유증"
"B94.2","Sequelae of viral hepatitis","바이러스간염의 후유증"
"B94.8","Sequelae of other specified infectious and parasitic diseases","기타 명시된 감염성 및 기생충성 질환의 후유증"
