,Unnamed: 0,icd_code,sum,icd_eng,icd_kor,symptom,group_name
73,73,E46,7,Unspecified protein-energy malnutrition,상세불명의 단백질-에너지영양실조,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,영양실조
74,74,E53,7,Deficiency of other B group vitamins,기타 비타민B군의 결핍,식욕부진||권태감||체중감소||무감각||근력 약화,기타 영양결핍
75,75,E55,61,Vitamin D deficiency,비타민D결핍,식욕부진||권태감||체중감소||무감각||근력 약화,기타 영양결핍
76,76,E61,10,Deficiency of other nutrient elements,기타 영양소의 결핍,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,기타 영양결핍
77,77,E66,307,Obesity,비만,사시||설사||심혈관계 증상||변비||수면 무호흡||발한||관절염||서맥||고혈압||악성종양발생||체중증가||식욕증가||저체온||관절통||호흡곤란||사춘기 지연||경련||불임||열,비만 및 기타 과영양
78,78,E73,2,Lactose intolerance,젖당불내성,복부 불편감||오심||설사||복부 통증||복부팽만감,대사장애
79,79,E74,1,Other disorders of carbohydrate metabolism,탄수화물대사의 기타 장애,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,대사장애
80,80,E78,204,Disorders of lipoprotein metabolism and other lipidaemias,지질단백질대사장애 및 기타 지질증,작열감||관절 운동성 감소||우울||환부 통증||근육경련||환부 부종||근력 약화,대사장애
81,81,E79,3,Disorders of purine and pyrimidine metabolism,퓨린 및 피리미딘의 대사장애,습진||정신 지체||경련||구토,대사장애
82,82,E83,27,Disorders of mineral metabolism,무기질대사장애,습진||정신 지체||경련||구토,대사장애
83,83,E86,94,Volume depletion,용적고갈,복시||배뇨장애||안면마비||다리 통증||삼키기 곤란||감각 이상||호흡곤란||가슴 두근거림,대사장애
84,84,E87,345,"Other disorders of fluid, electrolyte and acid-base balance","수분, 전해질 및 산-염기균형의 기타 장애",복시||배뇨장애||안면마비||다리 통증||삼키기 곤란||감각 이상||호흡곤란||가슴 두근거림,대사장애
85,85,E89,4,"Postprocedural endocrine and metabolic disorders, NEC",달리 분류되지 않은 처치후 내분비 및 대사 장애,복부비만,대사장애
86,86,F00,56,,,방향감각 상실||실인증||판단력장애||우울||실행증||시력 감소||조급증||감정 변화||언어장애||기억장애||섬망,증상성을 포함하는 기질성 정신장애
87,87,F01,17,Vascular dementia,혈관성 치매,감각 이상||인지장애||마비||언어장애,증상성을 포함하는 기질성 정신장애
88,88,F02,10,,,자세이상||방향감각 상실||서동||감각 이상||감정 변화||떨림(진전)||마비||지남력 장애||우울||실행증||인지장애||근육강직||판단력장애||성격의변화||시력 감소||조급증||섬망||건망증||실인증||보행이상||변실금||자세 불안정||언어장애||기억장애||혼돈,증상성을 포함하는 기질성 정신장애
89,89,F03,54,Unspecified dementia,상세불명의 치매,자세이상||방향감각 상실||서동||감각 이상||감정 변화||떨림(진전)||마비||지남력 장애||우울||실행증||인지장애||근육강직||판단력장애||성격의변화||시력 감소||조급증||섬망||건망증||실인증||보행이상||변실금||자세 불안정||언어장애||기억장애||혼돈,증상성을 포함하는 기질성 정신장애
90,90,F05,36,"Delirium, not induced by alcohol and other psychoactive substances",알콜 및 기타 정신활성물질에 의하여 유발된 것이 아닌 섬망,수면장애||환각||감정 변화||감각 이상||손떨림||초조함||환시||언어장애||불면증||섬망||혼돈||산만함,증상성을 포함하는 기질성 정신장애
91,91,F06,38,Other mental disorders due to brain damage and dysfunction and to physical disease,"뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애",와해된 언어||와해된 행동||무욕증||환각||피해망상||망상||정서적 둔마||무논리증,증상성을 포함하는 기질성 정신장애
92,92,F07,8,"Personality and behavioural disorders due to brain disease, damage and dysfunction","뇌질환, 뇌손상 및 기능이상에 의한 인격 및 행동장애",와해된 언어||와해된 행동||무욕증||환각||피해망상||망상||정서적 둔마||무논리증,증상성을 포함하는 기질성 정신장애
93,93,F10,38,Mental and behavioural disorders due to use of alcohol,알콜사용에 의한 정신 및 행동 장애,조절할 수 없는 충동감||정서 및 행동의 일탈||위험한 행동 반복||낮은 지능||낮은 학업 성취,정신활성물질의 사용에 의한 정신 및 행동 장애
94,94,F17,37,Mental and behavioural disorders due to use of tobacco,담배흡연에 의한 정신 및 행동 장애,조절할 수 없는 충동감||정서 및 행동의 일탈||위험한 행동 반복||낮은 지능||낮은 학업 성취,정신활성물질의 사용에 의한 정신 및 행동 장애
95,95,F20,8,Schizophrenia,조현병,와해된 언어||와해된 행동||무욕증||환각||피해망상||망상||정서적 둔마||무논리증,"조현병, 분열형 및 망상 장애"
96,96,F22,4,Persistent delusional disorders,지속성 망상장애,망상||고정된 믿음,"조현병, 분열형 및 망상 장애"
97,97,F29,4,Unspecified nonorganic psychosis,상세불명의 비기질성 정신병,오심||이명||구토||발한||어지러움||설사||권태감,"조현병, 분열형 및 망상 장애"
98,98,F32,38,Depressive episode,우울에피소드,에너지가 적음||삶에 대한 흥미 상실||우유부단함||낮은 자존감||우울||환각||식욕부진||자살의 위험||오후 우울감 완화||불안||초조함||비관주의||감정 변화||수면장애||피부 긴장도 저하||망상||권태감,기분[정동] 장애
99,99,F33,7,Recurrent depressive disorder,재발성 우울장애,에너지가 적음||삶에 대한 흥미 상실||우유부단함||낮은 자존감||우울||환각||식욕부진||자살의 위험||오후 우울감 완화||불안||초조함||비관주의||감정 변화||수면장애||피부 긴장도 저하||망상||권태감,기분[정동] 장애
100,100,F34,1,Persistent mood [affective] disorders,지속성 기분[정동]장애,피부 긴장도 저하||낮은 자존감||비관주의||우유부단함||에너지가 적음,기분[정동] 장애
101,101,F41,57,Other anxiety disorders,기타 불안장애,근육긴장||설사||목의 이물감||어지러움||피로감||애착 상대와 분리 거부||빈뇨||빈호흡||불안||초조함||수면장애||복부 불편감||불면증||가슴 두근거림||얼굴이 화끈거림,"신경증성, 스트레스-연관 및 신체형 장애"
102,102,F43,4,"Reaction to severe stress, and adjustment disorders",심한 스트레스에 대한 반응 및 적응장애,불안||대인관계 어려움||수면장애,"신경증성, 스트레스-연관 및 신체형 장애"
103,103,F79,1,Unspecified mental retardation,상세불명의 정신지체,정서장애||정신 지체||행동장애||언어장애,정신지체
104,104,F84,1,Pervasive developmental disorders,전반발달장애,학습장애||사회성 부족,정신발달장애
105,105,G20,27,Parkinson’s disease,파킨슨병,자세이상||보행이상||자세 불안정||서동||경직||수면장애||떨림(진전)||손떨림,추체외로 및 운동 장애
106,106,G30,31,Alzheimer’s disease,알츠하이머병,방향감각 상실||실인증||판단력장애||우울||실행증||시력 감소||조급증||감정 변화||언어장애||기억장애||섬망,신경계통의 기타 퇴행성 질환
107,107,G31,10,Other degenerative diseases of nervous system NEC,달리 분류되지 않은 신경계통의 기타 퇴행성 질환,방향감각 상실||실인증||판단력장애||우울||실행증||시력 감소||조급증||감정 변화||언어장애||기억장애||섬망,신경계통의 기타 퇴행성 질환
108,108,G35,8,Multiple sclerosis,다발경화증,시신경염||보행이상||사지 마비||감각 이상||피로감||반신마비||인지장애||손떨림||안구진탕||운동장애||배변장애||성기능 장애||배뇨장애,중추신경계통의 탈수초질환
109,109,G40,33,Epilepsy,뇌전증,눈꺼풀의 떨림||의식 저하||온몸이 떨림||손떨림||뇌전증 발작||경련,우발적 및 발작적 장애
110,110,G45,7,Transient cerebral ischaemic attacks and related syndromes,일과성 뇌허혈발작 및 관련 증후군,감각 이상||안면마비||구토||어지러움||파행||언어장애,우발적 및 발작적 장애
111,111,G47,112,Sleep disorders,수면장애,낮 시간대의 졸음||수면 시작이 어려움||수면 무호흡||입수면기의 환각||몽유병||수면 중 이상한 행동||수면 마비||수면 유지가 어려움||수면 주기의 변화,우발적 및 발작적 장애
112,112,G62,2,Other polyneuropathies,기타 다발신경병증,"복시||감각 이상||안면마비||다리 통증||삼키기 곤란||배뇨장애||손, 발 감각 저하||호흡곤란||가슴 두근거림||시림||저림",다발신경병증 및 말초신경계통의 기타 장애
113,113,G63,12,,,"복시||감각 이상||안면마비||다리 통증||삼키기 곤란||배뇨장애||손, 발 감각 저하||호흡곤란||가슴 두근거림||시림||저림",다발신경병증 및 말초신경계통의 기타 장애
114,114,G70,4,Myasthenia gravis and other myoneural disorders,중증근무력증 및 기타 근신경장애,복시||배뇨장애||안면마비||다리 통증||삼키기 곤란||감각 이상||호흡곤란||가슴 두근거림,신경근접합부 및 근육의 질환
115,115,G81,20,Hemiplegia,편마비,자세이상||근육강직||보행이상||자세 불안정||서동||떨림(진전),뇌성마비 및 기타 마비증후군
116,116,G82,7,Paraplegia and tetraplegia,하반신마비 및 사지마비,자세이상||근육강직||보행이상||자세 불안정||서동||떨림(진전),뇌성마비 및 기타 마비증후군
117,117,G83,1,Other paralytic syndromes,기타 마비증후군,자세이상||근육강직||보행이상||자세 불안정||서동||떨림(진전),뇌성마비 및 기타 마비증후군
118,118,G91,2,Hydrocephalus,수두증,수유 곤란||눈운동신경마비||축 늘어짐||구토||두통||서동||유두부종||시력 감소||연속동작의 느림||기억장애||떨림(진전)||근육강직||마비,신경계통의 기타 장애
119,119,G93,3,Other disorders of brain,뇌의 기타 장애,보행이상||인지장애||뇌전증 발작||반사 이상||근긴장의 이상,신경계통의 기타 장애
120,120,G94,3,,,보행이상||인지장애||뇌전증 발작||반사 이상||근긴장의 이상,신경계통의 기타 장애
121,121,H25,4,Senile cataract,노년백내장,복시||시력 감소||안구혼탁||눈부심,수정체의 장애
122,122,H26,4,Other cataract,기타 백내장,복시||시력 감소||안구혼탁||눈부심,수정체의 장애
123,123,H31,2,Other disorders of choroid,맥락막의 기타 장애,시력 감소||광시증||비문증||눈의 충혈,맥락막 및 망막의 장애
124,124,H35,17,Other retinal disorders,기타 망막장애,시야장애||눈의 충혈||눈부심,맥락막 및 망막의 장애
125,125,H36,12,,,시야장애||눈의 충혈||눈부심,맥락막 및 망막의 장애
126,126,H40,12,Glaucoma,녹내장,두통||주변시야손상||중심시력감소||암점||눈의 통증||시력 감소,녹내장
127,127,H47,1,Other disorders of optic[2nd] nerve and visual pathways,시[제2]신경 및 시각경로의 기타 장애,시야장애||눈의 충혈||눈부심,시신경 및 시각경로의 장애
128,128,H53,4,Visual disturbances,시각장애,색깔이 퇴색해보임||시야장애||눈의 통증,시각장애 및 실명
129,129,H54,4,Visual impairment including blindness (binocular or monocular),실명을 포함한 시력장애(양안의 또는 단안의),"두통||볼, 눈주위 움푹 꺼짐||눈의 피로||코 옆과 입꼬리 주름||시야장애||이중턱||눈가 및 이마 주름||아래 눈꺼풀이 불룩함||볼이 처짐||눈꺼풀 처짐증",시각장애 및 실명
130,130,H65,2,Nonsuppurative otitis media,비화농성 중이염,환부의 분비물||고름||두통||청력장애||이폐색감||열||이명||귀의 통증,중이 및 유돌의 질환
131,131,H92,1,Otalgia and effusion of ear,귀통증 및 귀의 삼출액,환부의 분비물||고름||두통||청력장애||이폐색감||열||이명||귀의 통증,귀의 기타 장애
132,132,I06,1,Rheumatic aortic valve diseases,류마티스성 대동맥판질환,무증상||자율신경장애||호흡곤란||가래||가슴 통증||기침,만성 류마티스심장질환
133,133,I07,6,Rheumatic tricuspid valve diseases,류마티스성 삼첨판질환,무증상||자율신경장애||호흡곤란||가래||가슴 통증||기침,만성 류마티스심장질환
134,134,I10,884,Essential(primary) hypertension,본태성(원발성) 고혈압,무증상||위장관 출혈||구토||의식 변화||두통||편마비||어지러움||고혈압||단백뇨||빈혈||시야장애||혈소판감소||피로감||피부 긴장도 저하||호흡곤란||가슴 두근거림||복부 통증,고혈압성 질환
135,135,I11,16,Hypertensive heart disease,고혈압성 심장병,무증상||위장관 출혈||구토||의식 변화||두통||편마비||어지러움||고혈압||단백뇨||빈혈||시야장애||혈소판감소||피로감||피부 긴장도 저하||호흡곤란||가슴 두근거림||복부 통증,고혈압성 질환
136,136,I12,9,Hypertensive renal disease,고혈압성 신장병,무증상||위장관 출혈||구토||의식 변화||두통||편마비||어지러움||고혈압||단백뇨||빈혈||시야장애||혈소판감소||피로감||피부 긴장도 저하||호흡곤란||가슴 두근거림||복부 통증,고혈압성 질환
137,137,I20,6,Angina pectoris,협심증,오심||어지러움||방사통||가슴 쓰림||호흡곤란||가슴 통증,허혈심장질환
138,138,I21,10,Acute myocardial infarction,급성 심근경색증,오심||창백||구토||발한||불안||호흡곤란||가슴 통증,허혈심장질환
139,139,I25,280,Chronic ischaemic heart disease,만성 허혈심장병,방사통||호흡곤란||가슴 통증,허혈심장질환
140,140,I26,54,Pulmonary embolism,폐색전증,발한||폐색전||실신||불안||호흡곤란||기침||가슴 통증||객혈||빈맥,폐성 심장병 및 폐순환의 질환
141,141,I27,5,Other pulmonary heart diseases,기타 폐성 심장질환,말초의 허혈||어지러움||실신||환부 통증||청색증||환부 부종||가슴 두근거림||피부궤양,폐성 심장병 및 폐순환의 질환
142,142,I33,2,Acute and subacute endocarditis,급성 및 아급성 심내막염,두통||식욕부진||저혈압||오한||열||호흡곤란||반점,기타 형태의 심장병
143,143,I34,10,Nonrheumatic mitral valve disorders,비류마티스성 승모판장애,호흡곤란||가래||기침,기타 형태의 심장병
144,144,I35,10,Nonrheumatic aortic valve disorders,비류마티스성 대동맥판장애,무증상||자율신경장애||호흡곤란||가래||가슴 통증||기침,기타 형태의 심장병
145,145,I42,9,Cardiomyopathy,심근병증,피부 긴장도 저하||말초부종||가슴 두근거림||복수||운동 시 호흡곤란,기타 형태의 심장병
146,146,I44,22,Atrioventricular and left bundle-branch block,방실차단 및 좌각차단,호흡곤란||가슴 두근거림||어지러움,기타 형태의 심장병
147,147,I45,6,Other conduction disorders,기타 전도장애,무증상||가슴 두근거림||실신||호흡곤란,기타 형태의 심장병
148,148,I46,33,Cardiac arrest,심장정지,자율신경장애||서맥||의식 변화,기타 형태의 심장병
