,icd_code,sum,icd_eng,icd_kor,symptom
33,C78,32,Secondary malignant neoplasm of respiratory and digestive organs,호흡 및 소화기관의 이차성 악성 신생물,발기부전||변비||수면 무호흡||급성 신부전||근육통||발한||설사||복부팽만감||불면증||몽유병||부정맥||가래||사춘기 지연||의식 변화||지남력 장애||피부홍조||어지러움||오한||인지장애||청색증||복부 통증||저체온||호흡곤란||가슴 두근거림||빈호흡||코막힘||두통||의식 저하||콧물||서맥||실신||함몰가슴||불안||악성종양발생||식욕증가||경직||사시||경련||흉부압박감||체중증가||온몸이 떨림||열||피부 긴장도 저하||기침||권태감||천명음
34,C79,20,Secondary malignant neoplasm of other and unspecified sites,기타 및 상세불명 부위의 이차성 악성 신생물,서동||근육강직||떨림(진전)||연속동작의 느림
35,C81,1,Hodgkin lymphoma,호지킨림프종,
36,C82,1,Follicular lymphoma,소포성 림프종,무증상||경부 림프절병증||위장관 출혈||의식 변화||구토||두통||발한||피로감||체중감소||식욕부진||덩어리가 만져짐||피부 긴장도 저하||빈혈||열||피부소양감||시력 감소||암 부위별로 다름||뇌전증 발작||복부 통증
37,C83,3,Non-follicular lymphoma,비소포성 림프종,무증상||경부 림프절병증||위장관 출혈||의식 변화||구토||두통||발한||피로감||체중감소||식욕부진||덩어리가 만져짐||피부 긴장도 저하||빈혈||열||피부소양감||시력 감소||암 부위별로 다름||뇌전증 발작||복부 통증
38,C85,1,Other and unspecified types of non-Hodgkin lymphoma,기타 및 상세불명 유형의 비호지킨림프종,
39,C90,16,Multiple myeloma and malignant plasma cell neoplasms,다발골수종 및 악성 형질세포신생물,배뇨장애||창백||출혈 경향성||뼈의 통증||피로감||잦은 감염||빈혈||골다공증
40,C91,16,Lymphoid leukaemia,림프성 백혈병,오심||발한||식욕부진||출혈 경향성||피로감||체중감소||뼈의 변형||혈소판감소||기운없음||호흡곤란||창백||멍||빈혈||간비대||구토||뼈의 통증||잦은 감염||경부 림프절병증||열||피부 긴장도 저하||비장비대||비출혈
41,C92,4,Myeloid leukaemia,골수성 백혈병,출혈 경향성||발한||체중감소||잦은 감염||식욕부진||피부 긴장도 저하||비장비대||간비대
42,D10,1,Benign neoplasm of mouth and pharynx,입 및 인두의 양성 신생물,"수유 곤란||피부색 변화||비정상적 질 분비물||육아조직||무산소 발작||환부 통증||골반 통증||발육부전||턱의 통증||발음 이상||입술, 입천장의 기형||청력장애||서맥||청색증||호흡곤란||생식기 통증||빈호흡||작열감||심부전||소양감||저산소증||얼굴형태의 이상||얼굴모양변화||발적||치아발달장애||복부 통증||비정상적 질출혈||저작장애||물집||잔뇨감||근긴장의 이상||환부 부종||생식기 부종"
43,D46,10,Myelodysplastic syndromes,골수형성이상증후군,출혈 경향성||피로감||잦은 감염||빈혈||열||호흡곤란
44,D47,9,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","림프, 조혈 및 관련 조직의 행동양식 불명 및 미상의 기타 신생물",무증상
45,D49,3,,,Empty Icd Name
46,D50,48,Iron deficiency anaemia,철결핍빈혈,스푼형 손톱||창백||심부전||어지러움||빈혈||구각염||설염||피부 긴장도 저하||호흡곤란||빈맥
47,D51,5,Vitamin B12 deficiency anaemia,비타민B12결핍빈혈,
48,D57,32,Sickle-cell disorders,낫적혈구장애,
49,D58,1,Other hereditary haemolytic anaemias,기타 유전성 용혈성 빈혈,무증상||망막 이상||운동 시 호흡곤란||식욕부진||황달||입 주변 부종||신증후군||각막 이상||단백뇨||눈 주변 부종||호흡곤란||얼굴부종||창백||사지 부종||수정체 이상||복부경련||덩어리가 만져짐||빈혈||악성종양발생||간비대||정신 혼미||목 주변 부종||얼굴모양변화||만성 신부전||혈뇨||비장비대||난청
50,D61,9,Other aplastic anaemias,기타 무형성빈혈,
51,D62,44,Acute posthaemorrhagic anaemia,급성 출혈후 빈혈,비정상적 질 분비물||오심||전신 부종||골반 통증||압통||근육통||발한||요통||다발성 관절염||청력장애||복부팽만감||식욕부진||진한 소변색||탈수||관절통||회색변||가래||결절||배뇨곤란||긴박뇨||이명||저혈량 쇼크||고름||피로감||어지러움||오한||고혈압||단백뇨||환부의 분비물||빈뇨||방사통||탁한 소변||통증 없는 부종||피부소양감||이폐색감||호흡곤란||쇼크||빈맥||설사||귀의 통증||창백||작열감||두통||배뇨 시 통증||콧물||소양감||열감||불안||산혈증||복부 불편감||가슴 통증||경련||복부 통증||비출혈||악취||구토||발진||잔뇨감||혈뇨||감기 증상||열||무뇨||피부 긴장도 저하||기침||권태감||천명음||소변량 감소||황달
52,D63,29,,,Empty Icd Name
53,D64,61,Other anaemias,기타 빈혈,스푼형 손톱||무증상||점상 출혈||의식 변화||운동 시 호흡곤란||구강궤양||식욕부진||진한 소변색||황달||반상출혈||간비대||출혈 경향성||생식기 출혈||피로감||어지러움||단백뇨||기운없음||호흡곤란||가슴 두근거림||피부궤양||저림||빈맥||반복되는 폐렴||담석||창백||두통||심부전||멍||빈혈||신경과민||가슴 통증||정신 혼미||근력 약화||복부 통증||잦은 상기도 감염||얼굴모양변화||자반증||설염||구각염||혈뇨||열||피부 긴장도 저하||비장비대||기억장애
54,D65,3,Disseminated intravascular coagulation [defibrination syndrome],파종성 혈관내응고[탈피브린증후군],점상 출혈||출혈 경향성||의식 저하||빈뇨||청색증||무뇨||호흡곤란||경련||복부 통증||저혈량 쇼크
55,D68,23,Other coagulation defects,기타 응고결함,
56,D69,49,Purpura and other haemorrhagic conditions,자반 및 기타 출혈성 병태,자반증||멍||몸살||열||피부소양감||혈변||복부 통증
57,D70,19,Agranulocytosis,무과립구증,식욕부진||잦은 감염||열||피부궤양||두통
58,D72,71,Other disorders of white blood cells,백혈구의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
59,D84,6,Other immunodeficiencies,기타 면역결핍,무증상||설사||구토||림프절 농양||악성종양발생||림프 부종||경부 림프절병증||발진||항문주위 염증||열||피부염증
60,D86,16,Sarcoidosis,사르코이드증,
61,D89,16,"Other disorders involving the immune mechanism, NEC",달리 분류되지 않은 면역메커니즘을 침범한 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
62,D90,5,,,Empty Icd Name
63,E03,106,Other hypothyroidism,기타 갑상선기능저하증,우울||체모감소||발육부전||불안||정신 지체||근육경련||근육강직||뇌전증 발작||치아발달장애||저림
64,E05,9,Thyrotoxicosis[hyperthyroidism],갑상선독증[갑상선기능항진증],
65,E10,30,Type 1 diabetes mellitus,1형 당뇨병,다음||다뇨||구토||피로감||체중감소||식욕부진||다식||복부 통증
66,E11,656,Type 2 diabetes mellitus,2형 당뇨병,다음||다뇨||갈증||소양감||다식||침침함||저림
67,E13,5,Other specified diabetes mellitus,기타 명시된 당뇨병,"무증상||구강호흡||피부색 변화||갈증||식욕부진||침침함||말초 통증||무감각||시림||피로감||체중감소||괴사||시야장애||피부 건조||기운없음||손, 발 감각 저하||피부궤양||저림||감각 이상||다뇨||의식 저하||소양감||복부 통증||구강건조||다음||구토||말초 신경장애||발가락의 변형||다식||피부 긴장도 저하"
68,E14,4,Unspecified diabetes mellitus,상세불명의 당뇨병,"무증상||구강호흡||피부색 변화||갈증||식욕부진||침침함||말초 통증||무감각||시림||피로감||체중감소||괴사||시야장애||피부 건조||기운없음||손, 발 감각 저하||피부궤양||저림||감각 이상||다뇨||의식 저하||소양감||복부 통증||구강건조||다음||구토||말초 신경장애||발가락의 변형||다식||피부 긴장도 저하"
69,E16,10,Other disorders of pancreatic internal secretion,췌장내분비의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
70,E27,7,Other disorders of adrenal gland,부신의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
71,E43,84,Unspecified severe protein-energy malnutrition,상세불명의 중증 단백질-에너지영양실조,발음 이상||복시||설사||피로감||구토||두통||근육통||삼키기 곤란||심부전||안검하수||다발성 장기부전 증상||식욕부진||오한||폐동맥 고혈압||열||호흡곤란||기침||권태감||근력 약화||복부 통증||혈소판감소
72,E44,91,Protein-energy malnutrition of moderate and mild degree,중등도 및 경도의 단백질-에너지영양실조,
73,E46,7,Unspecified protein-energy malnutrition,상세불명의 단백질-에너지영양실조,
74,E53,7,Deficiency of other B group vitamins,기타 비타민B군의 결핍,스푼형 손톱||무증상||오심||복부비만||감각 과민||갈증||모발 탈색||근육통||탈수||인내심이 부족함||복부팽만감||식욕부진||감정 변화||습진||경련||간부전||지남력 장애||충동 조절 어려움||발진||우울||피로감||어지러움||체중감소||건망증||림프 부종||낮은 자존감||항문주위 염증||피부 건조||기운없음||피부염증||근육강직||대인관계 어려움||의식 저하||빈맥||손발을 계속 움직임||설사||창백||다뇨||림프절 농양||표준 신장의 3%이하||심부전||빈혈||악성종양발생||정신 지체||호흡곤란||복부 불편감||사춘기 지연||섬망||근력 약화||복부 통증||대화에 불쑥 끼어듬||구강건조||저혈당||무감각||구토||간성뇌증||설염||구각염||경부 림프절병증||열||피부 긴장도 저하||권태감||산만함
75,E55,61,Vitamin D deficiency,비타민D결핍,
76,E61,10,Deficiency of other nutrient elements,기타 영양소의 결핍,스푼형 손톱||무증상||오심||복부비만||감각 과민||갈증||모발 탈색||근육통||탈수||인내심이 부족함||복부팽만감||식욕부진||감정 변화||습진||경련||간부전||지남력 장애||충동 조절 어려움||발진||우울||피로감||어지러움||체중감소||건망증||림프 부종||낮은 자존감||항문주위 염증||피부 건조||기운없음||피부염증||근육강직||대인관계 어려움||의식 저하||빈맥||손발을 계속 움직임||설사||창백||다뇨||림프절 농양||표준 신장의 3%이하||심부전||빈혈||악성종양발생||정신 지체||호흡곤란||복부 불편감||사춘기 지연||섬망||근력 약화||복부 통증||대화에 불쑥 끼어듬||구강건조||저혈당||무감각||구토||간성뇌증||설염||구각염||경부 림프절병증||열||피부 긴장도 저하||권태감||산만함
77,E66,307,Obesity,비만,사시||설사||심혈관계 증상||변비||수면 무호흡||발한||관절염||서맥||고혈압||악성종양발생||체중증가||식욕증가||저체온||관절통||호흡곤란||사춘기 지연||경련||불임||열
78,E73,2,Lactose intolerance,젖당불내성,복부 불편감||오심||설사||복부 통증||복부팽만감
79,E74,1,Other disorders of carbohydrate metabolism,탄수화물대사의 기타 장애,"에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
80,E78,204,Disorders of lipoprotein metabolism and other lipidaemias,지질단백질대사장애 및 기타 지질증,"손, 발 감각 저하||경련||눈운동신경마비||실행증||학습장애"
81,E79,3,Disorders of purine and pyrimidine metabolism,퓨린 및 피리미딘의 대사장애,습진||정신 지체||경련||구토
82,E83,27,Disorders of mineral metabolism,무기질대사장애,
83,E86,94,Volume depletion,용적고갈,
84,E87,345,"Other disorders of fluid, electrolyte and acid-base balance","수분, 전해질 및 산-염기균형의 기타 장애","에너지가 적음||목소리 변화||오심||삼키기 곤란||무증상||근육의 뒤틀림||어지러움||발한||눈의 피로||사춘기 지연||복부팽만감||목의 통증||감각 이상||망상||온몸이 떨림||트림||나쁜 품행||이상한 소리를 냄||질병에 대한 공포||마비||비현실감||병원 쇼핑||죽음에 대한 공포||변비||우울||수면 무호흡||중심시력감소||청력장애||손의 통증||단백뇨||낮은 자존감||오한||가슴 답답||약물남용||저체온||거짓 증상 호소||호흡곤란||무관심||대인관계 어려움||근육강직||저림||사물이 찌그러져 보임||근육긴장||조절할 수 없는 충동감||설사||판단력장애||소화불량||두통||어깨의 통증||비정상적인 움직임||야만적 행위||근긴장의 이상||멍||서맥||얼굴형태의 이상||사경||고정된 믿음||불안||악성종양발생||식욕증가||사시||가슴 통증||숨막히는 느낌||경련||손떨림||읽기,쓰기 능력 부족||가슴 두근거림||우유부단함||의심||눈꺼풀의 떨림||체중증가||얼굴이 화끈거림||거품있는 소변||자살의 위험||반복적인 동작||직무 태만||시야장애||열||언어장애||피부 긴장도 저하||비관주의||기억장애||근육경련||눈꺼풀 처짐증"
85,E89,4,"Postprocedural endocrine and metabolic disorders, NEC",달리 분류되지 않은 처치후 내분비 및 대사 장애,오심||회색변||구토||체중감소||황달||지방변||복부 통증||열
86,F00,56,,,Empty Icd Name
87,F01,17,Vascular dementia,혈관성 치매,감각 이상||인지장애||마비||언어장애
88,F02,10,,,Empty Icd Name
89,F03,54,Unspecified dementia,상세불명의 치매,자세이상||방향감각 상실||서동||감각 이상||감정 변화||떨림(진전)||마비||지남력 장애||우울||실행증||인지장애||근육강직||판단력장애||성격의변화||시력 감소||조급증||섬망||건망증||실인증||보행이상||변실금||자세 불안정||언어장애||기억장애||혼돈
90,F05,36,"Delirium, not induced by alcohol and other psychoactive substances",알콜 및 기타 정신활성물질에 의하여 유발된 것이 아닌 섬망,"무증상||금단증상||위장관 출혈||황달||복수||구토||반사회적 인격장애||태아, 신생아의 기형||피로감||식욕부진||간성뇌증||불안||복부 통증||기운없음||태아, 신생아의 정신 장애||복부 불편감||오심||열"
